*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PcbSensor_Prod_10-03-2021
*Date=15:47:35
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
199;;THT;99.6576;-16.6758;-32.4802;Bottom;1
200;;;157.667;-57.6048;90;Bottom;TXT14
201;1µF;100 mil [THT, electrolytic];98.2217;-53.9997;180;Bottom;C1MF
202;;;36.4996;-3.1998;0;Bottom;Via11
203;;;47.5234;-44.8791;0;Bottom;Copper Fill149
204;;THT;89.2436;-36.7417;-32.4802;Bottom;1
205;;;70.5357;-35.3033;0;Bottom;Copper Fill6
206;;;39.3954;-37.5639;0;Bottom;Copper Fill79
207;;THT;110.668;-23.1803;180;Bottom;PC817
208;;;95.4622;-36.6508;-31;Bottom;TXT2
209;;;71.8056;-4.7238;0;Bottom;Via2
210;;300 mil [THT];68.2497;-50.1643;90;Bottom;DZ2
211;;THT;44.1197;-48.9197;180;Bottom;R10K
212;220;0805 [SMD];54.5426;-52.9837;180;Top;R5K
213;;;31.6736;-0.913802;0;Bottom;Via6
214;;;41.0716;-24.0278;0;Bottom;Via22
215;;;154.299;-16.1819;90;Bottom;TXT6
216;;;157.724;-17.0096;90;Bottom;TXT14
217;;;70.2565;-23.9241;0;Bottom;Copper Fill53
218;;fuse_5mm;134.704;-70.0017;90;Bottom;1
219;;;79.9591;-5.45833;0;Bottom;Copper Fill201
220;;;1.69347;-38.2565;-90;Bottom;TXT13
221;1µF;100 mil [THT, electrolytic];92.8877;-53.9997;-180;Bottom;C1MF
222;;THT;110.58;-36.7417;-32.4802;Bottom;1
223;;;157.936;-50.7743;0;Bottom;TXT15
224;;;16.1797;-7.51758;0;Bottom;Hole8
225;;;73.8376;-3.1998;0;Bottom;Via1
226;;;97.3581;-61.8971;0;Bottom;Copper Fill1
227;;THT;108.802;-16.6758;-32.4802;Bottom;1
228;;THT;104.484;-36.7417;-32.4802;Bottom;1
229;;;70.2817;-23.7822;180;Bottom;ATMEGA-328P
230;220;0805 [SMD];47.9386;-52.9837;180;Top;R5K
231;;;154.299;-34.1924;90;Bottom;TXT5
232;;;35.4836;-25.0437;0;Bottom;Via14
