*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PcbSensor_Prod_03-03-2021
*Date=15:51:19
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
211;;;49.3267;-54.9375;0;Bottom;Copper Fill16
212;;THT;110.922;-30.0383;180;Bottom;PC817
213;;THT;70.0375;-21.7284;143.38;Bottom;R10K
214;220;0805 [SMD];53.0096;-4.47869;90;Top;RK1
215;;;10.5076;-67.3954;0;Bottom;TXT13
216;;;80.8989;-65.6817;0;Bottom;Copper Fill128
217;;;1.75105;-38.4865;-90;Bottom;TXT9
218;;;16.8121;-45.4052;0;Bottom;TXT13
219;;;35.4836;-25.0437;0;Bottom;Via14
220;;300 mil [THT];63.1697;-50.1643;90;Bottom;DZ4
221;;;31.6736;-0.913802;0;Bottom;Via6
222;;;40.5636;-11.8358;0;Bottom;Via19
223;;THT;119.304;-6.2477;-90;Bottom;R1K
224;;;83.5661;-36.9289;0;Bottom;Copper Fill146
225;;;70.2565;-23.9241;0;Bottom;Copper Fill53
226;;5 mm [THT];119.955;-63.3977;90;Bottom;LED1
227;;THT;102.706;-16.6758;-32.4802;Bottom;1
228;;;154.616;-37.3793;90;Bottom;TXT8
229;;;157.869;-47.1709;90;Bottom;TXT14
230;220;0805 [SMD];49.4446;-21.4877;0;Top;R5k
231;;;108.906;-16.513;-31;Bottom;TXT2
232;;THT;119.304;-22.5037;-90;Bottom;R1K
